dataset_id,platform,edge,classification,design_basis,limitation,source
local_origin_600,X,origin_signal_to_coordination,untested,Displayed-country contrast among selected visible reposters,No coordination measure; origin is a displayed signal,../studies/foreign_origin_amplification_600/REPORT_v1.md
figshare_28033772_v1,X,ranking_to_feed_composition,measured_association,Matched For You versus followed-feed composition in same public dataset,Historical matched feeds identify a comparison but causal ranking effect depends on feed comparability and capture design,../studies/political_recommendation_amplification/public_results/heterogeneity/report.md
figshare_28033772_v1,X,foreign_operation_to_ranking,untested,Accounts anonymized in public data,No operation or account-origin labels,../studies/political_recommendation_amplification/public_results/heterogeneity/report.md
pnas_2610388123,X,ranking_to_value_exposure,measured_association,Matched amplified content versus followed-account inventory,Value alignment outcome differs from 2023 source ideology; no randomized holdback,../studies/political_recommendation_amplification/public_results/synthesis/report.md
rogers_righetti_2025_facebook,Facebook,coordination_to_deception,proxy_only,Similar link-sharing coordination signatures across media groups and an influence operation,Coordination does not independently establish deceptive organizational presentation,https://journals.sagepub.com/doi/10.1177/29768624251369784
eady_2023_ira_2016,X,campaign_attribution_to_actual_feed_delivery,proxy_only,Platform-attributed account list crossed with followed users and posts,Potential exposure reconstructed; actual feed delivery and viewing not observed,https://pmc.ncbi.nlm.nih.gov/articles/PMC9829855/
eady_2023_ira_2016,X,potential_exposure_to_attitude_or_vote_change,measured_association,Longitudinal survey and reconstructed timeline exposure,Observational design; no meaningful association detected but causal impact not identified,https://pmc.ncbi.nlm.nih.gov/articles/PMC9829855/
huszar_2021_holdback,X,ranking_to_political_source_exposure,causal_test,Platform randomized ranked versus chronological holdback,Political source groups not classified as foreign operations,https://www.pnas.org/doi/full/10.1073/pnas.2025334119
rauchfleisch_2020_botometer,X,bot_score_to_verified_automation,proxy_only,Threshold compared with human-coded reference groups and manual review,Score is imperfect and changes with language and time; does not classify 2026 accounts,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0241045
bail_2020_ira_2017,X,recorded_ira_interaction_to_attitude_or_behavior_outcome,measured_association,Longitudinal survey linked to direct and indirect interactions with platform-attributed IRA accounts,Observational interaction measure mixes direct actions and indirect network contact; actual viewing of indirect content unknown; non-significant association does not prove zero effect,https://sites.duke.edu/hillygus/files/2020/02/2020.PNAS_.Bailetal.pdf
x_ira_archive_2018,X,platform_attribution_to_feed_delivery,untested,Content analysis uses a platform-disclosed IRA archive,Archive describes posted content and strategy rather than audience feed delivery; attribution corpus can overlap other analyses,https://www.cambridge.org/core/journals/political-science-research-and-methods/article/asymmetric-flooding-as-a-tool-for-foreign-influence-on-social-media/1D007EBDEF5D511812B615B9F6D61B02
recabarren_2023_venezuela,Twitter/X,participant_reported_coordination_to_account_behavior,proxy_only,Interviews describe coordinated groups and participant-reported controlled accounts with subset validation,Self-reports and selected accounts do not establish all participants or a general foreign-operation effect; no observed feed delivery,https://www.usenix.org/system/files/usenixsecurity23-recabarren.pdf
hassan_2026_youtube_geopolitical_narratives,YouTube,video_engagement_to_recommendation_increment,untested,Official campaign video engagement outcomes,Authors state recommender behavior was not directly measured; engagement cannot supply a feed-selection counterfactual,https://www.frontiersin.org/journals/political-science/articles/10.3389/fpos.2026.1901653/full
